Page URL,Action,Expected,Actual,Passed
http://localhost:5173/accounting/chart-of-accounts,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/accounting/cost-centers,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/accounting/dashboard,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/accounting/fiscal-years,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/accounting/journal-entries,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/accounting/reports/account-statement,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/accounting/reports/aging,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/accounting/reports/balance-sheet,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/accounting/reports/cash-flow,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/accounting/reports/general-ledger,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/accounting/reports/income-statement,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/accounting/reports/trial-balance,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/construction,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/construction/billings,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/construction/boq,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/construction/budgets,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/construction/contracts,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/construction/equipment,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/construction/expenses,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/construction/labor,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/construction/materials,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/construction/projects,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/construction/reports,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/construction/subcontractors,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/construction/variations,Index,page loads,"navigation error: Page.goto: Timeout 20000ms exceeded.
Call log:
  - navigating to ""http://localho",✗
http://localhost:5173/crm,Index,page loads,loaded OK,✓
